"Part","Value","Device","Package","Description","ARROW_PART_NUMBER","ARROW_PRICE-STOCK","BUILT_BY","CATEGORY","COLOR","COPYRIGHT","CORE","CTR-MAX","CTR-MIN","DATASHEET-URL","DESCRIPTION","DRAIN_CURRENT","FORWARD_CURRENT","HEIGHT","IF","MANUFACTURER","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUNT","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","OPERATING_TEMP","OPERATION-FORCE","PART-NUMBER","PART_STATUS","POPULARITY","QTY","REVERSE_VOLTAGE","ROHS_COMPLIANT","SERIES","SPEED","SPICEPREFIX","SUB-CATEGORY","TC-CTR","THERMALLOSS","TYPE","VALUE","VCE","VENDOR","VISO",
"A100","Arduino Nano ESP32","NANO_ESP32","NANO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arduino Nano ESP32","","","",
"D500","ATtiny25-20SSH","ATTINY25-20SSH-8PIN_SOIC","SOIC127P600X175-8N","Atmel tiny25/45/85, 8-bit AVR Microcontroller with 2/4/8K","","","","IC_Embedded","","","AVR","","","","AVR AVR� ATtiny, Functional Safety (FuSa) Microcontroller IC 8-Bit 20MHz 2KB (1K x 16) FLASH 8-SOIC","","","","","Microchip Technology","","","","","","","ATtiny25-20SSH","","","-40�C to 85�C","","","Active","","","","COMPLIANT","ATtiny25","20 MHz","","Microcontroller","","","8 bit Microcontroller","ATtiny25-20SSH","","","",
"K511","RZ03-1A4-D005","1-1415899-6","RELAY-SPST2_5MM","","","","EMA_UL_Team","Power Relays","","Copyright (C) 2016 Accelerated Designs. All rights reserved","","","","","RZ03-1A4-D012","","","","","","","1-1415899-6","","","","","","","","","","","active","","","","","SCHRACK Power PCB Relay RZ","","","","","","","","","TE Connectivity","",
"K521","RZ03-1A4-D005","1-1415899-6","RELAY-SPST2_5MM","","","","EMA_UL_Team","Power Relays","","Copyright (C) 2016 Accelerated Designs. All rights reserved","","","","","RZ03-1A4-D012","","","","","","","1-1415899-6","","","","","","","","","","","active","","","","","SCHRACK Power PCB Relay RZ","","","","","","","","","TE Connectivity","",
"P201","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","","FLAT_TOP","LED_BLUE","","","",
"P511","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","","FLAT_TOP","LED_BLUE","","","",
"P521","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","","FLAT_TOP","LED_BLUE","","","",
"Q411","140357145400","WL-OCPT_SERIES_357_140357145400","WL-OCPT_SOP4","WL-OCPT SOP-4","","","","","","","","600%","300%","https://www.we-online.com/redexpert/spec/140357145400?ae","","","","","60mA","","","","","SMT","","","","","","","","140357145400","","","","","","","","","","IF = 5mA,VCE = 5 V","","","140357145400","35V","","3750(V(RMS))",
"Q412","140357145400","WL-OCPT_SERIES_357_140357145400","WL-OCPT_SOP4","WL-OCPT SOP-4","","","","","","","","600%","300%","https://www.we-online.com/redexpert/spec/140357145400?ae","","","","","60mA","","","","","SMT","","","","","","","","140357145400","","","","","","","","","","IF = 5mA,VCE = 5 V","","","140357145400","35V","","3750(V(RMS))",
"Q501","140357145400","WL-OCPT_SERIES_357_140357145400","WL-OCPT_SOP4","WL-OCPT SOP-4","","","","","","","","600%","300%","https://www.we-online.com/redexpert/spec/140357145400?ae","","","","","60mA","","","","","SMT","","","","","","","","140357145400","","","","","","","","","","IF = 5mA,VCE = 5 V","","","140357145400","35V","","3750(V(RMS))",
